"image","Sum_Length","Avg_Branch_pathlength","Avg_Width","Avg_Depth","Avg_Partition_asymmetry","Avg_Contraction","Avg_Fractal_Dim","Avg_Bif_ampl_remote","cell","duration_mean","slope_mean","spike_width","temperature","kv11"
"20191229_2_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"7989d4d3",1.62228461538462,0.230766112213343,2.40307692307692,-1.58132904022932,"negative"
"20191229_1_2",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"7f5eb7b3",1.54340142857143,0.270855069741181,2.516,-1.57996659353375,"positive"
"20200819_2_3",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"7fb68455",1.134202,0.0899628475032862,1.75254545454545,29.137757062912,"positive"
"20200819_4_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"85f27ccf",1.26358110294118,0.0882103984188106,1.80139705882353,28.9818731307983,"positive"
"20200120_5_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"8973d0fb",0.690192727272727,0.0224982956791655,2.05818181818182,29.4102887511253,"positive"
"20191226_1_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"9f030412",0.68481,0.0408987534333718,2.37333333333333,31.4100705385208,"positive"
"20200816_1_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"ac53609a",1.73206494949495,0.0528356612089679,1.74313131313131,29.6635834058126,"positive"
"20200120_2_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"aca29a76",1.49908958333333,0.200067584801246,2.17416666666667,29.2540493011475,"positive"
"20200816_6_3",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"c2d2838b",0.852718,0.0692386734254828,1.604,29.4263114929199,"positive"
"20191231_7_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"c31e8e0d",1.77463636363636,0.174669894326291,1.74181818181818,26.9004558324814,"positive"
"20191231_6_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"c81a643a",1.71382636363636,0.134469867022745,3.12,-1.57779088616371,"positive"
"20191228_1_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"d7d37555",1.68909,0.166944611489457,1.54333333333333,31.035985827446,"positive"
"20200819_2_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"dcdcb067",1.2982308974359,0.0626070702029152,1.89865384615385,29.4689357280731,"positive"
"20200815_2_1",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"e218e147",1.67577702380952,0.182139653005499,1.62558974358974,29.0586957886105,"negative"
"20200818_3_2",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"e26de824",0.953232197802198,0.0484061220675947,2.00087912087912,29.2926244861201,"negative"
"20191231_6_2",1188.65205143092,27.0148193507026,159.216561544029,11.88,0.38961038961039,0.866127568888565,1.05968562247089,63.6082082710431,"e4ba09bb",1.74239384615385,0.118644428078546,1.91230769230769,28.9137108325958,"negative"
